Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
LVRN,0.686489738,0.656523355,0.741473815,0.867515924,0.782882166,0.607231953,0.77721603,0.945178698
LXN,0.741029724,0.708227176,0.884610757,0.675951875,0.810323779,0.786610934,0.924168436,0.824305556
LY6E,0.874444444,0.827691083,0.701031493,0.59915959,0.910129158,0.951503892,0.794125973,0.729445329
LY6G5B,0.562027601,0.316926752,0.606516277,0.451450814,0.683227176,0.454118011,0.7009908,0.567383227
LY6G5C,0.730329087,0.688779193,0.780739561,0.773853503,0.792975938,0.854175513,0.901769285,0.688933121
LY6G6C,0.534667374,0.565302548,0.59834041,0.613731423,0.361809979,0.294258669,0.531400389,0.61814402
LY6K,0.333177636,0.366123496,0.515065464,0.45596603,0.466365888,0.380139774,0.654918613,0.618400566
LY86,0.992869781,0.98688075,0.873450106,0.818370488,0.994966384,0.992918436,0.973903043,0.966852442
LY9,0.631811748,0.716422505,0.720633404,0.730366242,0.649610757,0.883324487,0.668794232,0.795059271
LY96,0.974016277,0.995930644,0.860762562,0.868558033,0.970399858,0.996381812,0.849557679,0.959129512
LYAR,0.66381104,0.641272116,0.619396674,0.798816348,0.691056263,0.562973284,0.4432546,0.777357573
LYG1,0.784716914,0.665870488,0.744591295,0.907032909,0.885217622,0.776941791,0.77095276,0.952030255
LYG2,0.866440198,0.84547063,0.826889597,0.821100495,0.946390658,0.92952937,0.903706653,0.951021762
LYL1,0.997784855,0.997193914,0.933374027,0.927045294,0.997505308,0.998248408,0.977030255,0.956077495
LYN,0.998680113,0.935115004,0.964773531,0.702464614,0.999495754,0.905599788,0.96898443,0.773969391
LYNX1,0.900934183,0.706588818,0.751679052,0.807193914,0.946753362,0.744196745,0.802454883,0.895475053
LYPD1,0.998025478,0.999897381,0.963924275,0.924051663,0.999433829,0.999991154,0.999318825,0.893816348
LYPD3,0.687314225,0.626985138,0.687561925,0.816059802,0.767330149,0.632767162,0.672027601,0.953759731
LYPD4,0.441019108,0.517487615,0.445318471,0.371951522,0.644276362,0.747868011,0.638066171,0.405374204
