Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
EFCAB11,0.739723992,0.717830856,0.7362615,0.882151451,0.883970276,0.917104565,0.95344126,0.945523708
EFCAB12,0.962130219,0.908903043,0.903227176,0.902556617,0.974469214,0.855157466,0.820258316,0.956878096
EFCAB14,0.849497523,0.695656405,0.747131989,0.664189667,0.931006723,0.777131989,0.861818825,0.621342003
EFCAB2,0.992094834,0.80014862,0.709191437,0.70910828,0.988676575,0.795386589,0.757917551,0.747222222
EFCAB5,0.998913659,0.959892074,0.939571833,0.988425336,0.999725761,0.994249823,0.976716207,0.99596603
EFCAB6,0.920042463,0.936381812,0.996924982,0.997922859,0.94423213,0.891653397,0.996886058,0.996744515
EFCAB7,0.926992215,0.908184713,0.927924628,0.976576433,0.864897381,0.919347134,0.950415782,0.996691437
EFCAB8,0.975088464,0.929904459,0.930102619,0.895879335,0.978255485,0.931457891,0.886124381,0.781568471
EFCAB9,0.639936306,0.634219745,0.756926752,0.775679406,0.743188252,0.803467799,0.893842887,0.808271408
EFCC1,0.978135173,0.982047063,0.981500354,0.798131635,0.974823071,0.995076964,0.996726822,0.85736465
EFEMP1,0.994971691,0.99393666,0.965019462,0.966795824,0.995169851,0.992002831,0.990291047,0.988176752
EFEMP2,0.875474168,0.998552725,0.999674452,0.941127035,0.885748408,0.999654989,0.999610757,0.930887297
EFHB,0.694391366,0.725254777,0.639120665,0.62071833,0.733474876,0.766131458,0.744413482,0.724093241
EFHC1,0.972795471,0.99915782,0.991001415,0.984939844,0.975884643,0.998602265,0.985500708,0.980077849
EFHC2,0.9940092,0.981650743,0.978071479,0.930677636,0.993542109,0.989406405,0.985253008,0.952503539
EFHD1,0.969511677,0.964171975,0.936167728,0.918657113,0.982404459,0.95170736,0.942347841,0.907559271
EFHD2,0.999288747,0.998584572,0.999274593,0.999695683,0.9992569,0.996691437,0.998381104,0.999991154
EFNA1,0.926546355,0.947342534,0.959263977,0.729918613,0.98895966,0.99668259,0.999274593,0.855674982
EFNA2,0.63529724,0.653742038,0.661475584,0.808938429,0.7637385,0.754533793,0.748328025,0.987283263
EFNA3,0.991135881,0.932961783,0.967453999,0.990180467,0.991728592,0.963512916,0.994240977,0.994506369
EFNA4,0.588007785,0.470134466,0.445449398,0.467684006,0.661217268,0.458492569,0.413747346,0.444033086
EFNA5,0.999985846,1,0.999830149,0.999985846,1,1,0.999911536,0.999991154
EFNB1,0.858506723,0.949295824,0.803791578,0.779502831,0.89240092,0.980816525,0.837137297,0.833289101
EFNB2,0.989971691,0.999327672,0.997749469,0.999143666,0.998531493,1,0.999920382,0.999991154
EFNB3,0.991822364,0.992275301,0.996903751,0.984437367,0.999858457,0.989800071,0.998018401,0.99987615
EFR3A,0.847413305,0.943349257,0.97116242,0.989005662,0.913057325,0.954449752,0.967498231,0.986995754
EFR3B,0.944320594,0.981472045,0.970730715,0.979228592,0.939216207,0.962190375,0.964335633,0.961279193
EFS,0.99586695,0.67670736,0.599639066,0.532655697,0.99668259,0.716786093,0.642374381,0.340751062
EFTUD2,0.907767162,0.680985492,0.716620665,0.640221161,0.877034678,0.476543701,0.695797948,0.673239561
EGF,0.864476292,0.879815994,0.861450814,0.982384996,0.862730007,0.957006369,0.948894197,0.974584218
EGFL6,0.932837933,0.764456829,0.839633758,0.88598903,0.907156759,0.735483015,0.832236377,0.845961607
EGFL7,0.998152866,0.918055556,0.87636235,0.787629158,0.997974168,0.849659413,0.773726115,0.775805025
EGFL8,0.486305732,0.480605096,0.651643666,0.604019816,0.455422859,0.551110226,0.648336872,0.82093949
EGFLAM,0.789833687,0.874853149,0.927968861,0.891006723,0.52745046,0.765892604,0.878153751,0.918320948
EGFR,0.999996461,0.991818825,0.994711607,0.998397028,1,0.999805379,0.999929229,0.999849611
EGLN1,0.964239207,0.983499646,0.957668082,0.872121373,0.981449045,0.972169144,0.953587226,0.94313075
EGLN2,0.69626327,0.759991154,0.843789809,0.65656051,0.623213022,0.708103326,0.876526008,0.620200814
EGLN3,0.98608988,0.959785916,0.833347488,0.964860226,0.996532201,0.924323248,0.796182767,0.949128627
EGR1,0.982512385,0.994672682,0.994918613,0.952636235,0.992047063,0.999796532,0.999893843,0.993250177
EGR2,0.999936306,0.988297948,0.978297948,0.889076433,0.999964614,0.995833333,0.998611111,0.921815287
EGR3,0.989784147,0.987457537,0.97913305,0.873308563,0.993745577,0.997222222,0.999708068,0.98846426
EGR4,0.908050248,0.821457891,0.875394551,0.812001062,0.964357749,0.91223903,0.954498408,0.893303255
EHBP1,0.920838641,0.907117834,0.821275655,0.884996461,0.882147912,0.899261323,0.841573779,0.830909413
EHBP1L1,0.933584572,0.815605096,0.731479122,0.737561925,0.958740269,0.937721161,0.791790517,0.761624204
EHD1,0.844720453,0.901631281,0.89735138,0.865838641,0.932669851,0.980122081,0.975424628,0.911734784
EHD2,0.983428875,0.81596426,0.77205414,0.632416844,0.981378273,0.841648974,0.837203645,0.789216207
EHD3,0.994607219,0.979039278,0.856234961,0.770674098,0.994585987,0.993820771,0.814570064,0.707802548
EHD4,0.952770701,0.828204176,0.842059448,0.700599788,0.969179052,0.898080326,0.799482484,0.668865004
EHF,0.508729653,0.520281316,0.427791932,0.559478061,0.456891366,0.575690021,0.480812102,0.590512208
EHHADH,0.918191791,0.9472523,0.884078202,0.64408351,0.955042463,0.947876858,0.886071302,0.752286801
EHMT1,0.980601557,0.96338995,0.852692852,0.785026539,0.991197806,0.992206299,0.883098903,0.721633935
EHMT2,0.866305732,0.814081741,0.788133404,0.78158528,0.969718684,0.967471691,0.970789101,0.783262562
EI24,0.904072895,0.565267162,0.713154636,0.802799009,0.900283086,0.599318825,0.813924275,0.924137473
EID1,0.823719038,0.954508139,0.980364473,0.932338995,0.927662774,0.982784855,0.983527955,0.985084926
EID2,0.891822364,0.62873673,0.594773531,0.761190729,0.934041047,0.763672151,0.752481423,0.748575725
EID2B,0.889642604,0.612510616,0.603011323,0.66131281,0.901654282,0.691564933,0.698668613,0.68028574
EIF1,0.91101557,0.993658882,0.995955414,0.988370488,0.91628627,0.996266808,0.998381104,0.986871904
EIF1AD,0.816840057,0.66507431,0.651848903,0.787627389,0.883227176,0.67783528,0.692604388,0.78847753
EIF1AX,0.68064402,0.828101557,0.675387473,0.764049894,0.860748408,0.949079972,0.787561925,0.771032378
EIF1AY,0.557653928,0.465709483,0.5197523,0.568048478,0.799168436,0.717799009,0.600557325,0.683651805
EIF1B,0.876454352,0.923320948,0.93128804,0.872314225,0.89633758,0.834107396,0.858067941,0.937137297
EIF2A,0.803312102,0.898826964,0.840698868,0.765180467,0.784474522,0.913097134,0.759549717,0.652521231
EIF2AK1,0.910562633,0.908182944,0.933025478,0.880406936,0.950026539,0.903826079,0.904591295,0.911814402
EIF2AK2,0.962657466,0.975983723,0.989486907,0.909792994,0.975981953,0.958076787,0.991418967,0.940260085
EIF2AK3,0.894915074,0.954308209,0.945812102,0.928901274,0.965145081,0.979003008,0.995377742,0.983974699
EIF2AK4,0.933167021,0.829301132,0.790113234,0.694488677,0.936526893,0.85490092,0.78112615,0.575088464
EIF2B1,0.667066525,0.441104034,0.49193029,0.449646143,0.816454352,0.668170559,0.703246638,0.611978061
EIF2B2,0.706578202,0.472655697,0.445237084,0.479166667,0.700778485,0.507930821,0.582015216,0.443201522
EIF2B3,0.940973107,0.855277778,0.86230184,0.801825902,0.938234253,0.814273708,0.758266985,0.77881281
EIF2B4,0.656786978,0.511070418,0.351755131,0.433883581,0.579980538,0.440207006,0.382873319,0.327512385
EIF2B5,0.939911536,0.895320241,0.880927105,0.622163836,0.920806794,0.833435067,0.857793701,0.749973461
EIF2D,0.788216561,0.584214437,0.411380042,0.565405166,0.84423213,0.682537155,0.454936306,0.697744161
EIF2S1,0.79967799,0.6570046,0.566254423,0.485548478,0.93185598,0.855674982,0.805816525,0.612491154
EIF2S2,0.578864119,0.830557325,0.862613234,0.871383581,0.645736023,0.840167197,0.883258139,0.790591826
EIF2S3,0.886404812,0.954177282,0.927873319,0.734998231,0.916507431,0.96715322,0.965746638,0.779078202
EIF3A,0.845081387,0.872868011,0.69326787,0.691953291,0.942073602,0.904617834,0.807868896,0.745178698
EIF3B,0.753308563,0.54722753,0.716730361,0.709957537,0.775690021,0.548810156,0.758280255,0.657001946
EIF3D,0.856769285,0.751797594,0.682365534,0.68911005,0.886447275,0.699416136,0.670519285,0.599880573
EIF3E,0.804861996,0.550751946,0.72648443,0.680387473,0.69668259,0.403224522,0.70330414,0.697739738
EIF3F,0.773970276,0.738121019,0.731303963,0.539026893,0.923743808,0.876481776,0.823991507,0.546589703
EIF3G,0.562377919,0.535044232,0.528973815,0.526525124,0.689658528,0.653715499,0.550548478,0.666666667
EIF3H,0.818945506,0.787361996,0.720564402,0.622503539,0.771824133,0.729020701,0.627357573,0.709487792
EIF3I,0.709366596,0.5797523,0.533550955,0.565803255,0.77388535,0.743851734,0.624513447,0.671196037
EIF3J,0.662469922,0.680274239,0.626012031,0.534524062,0.60440552,0.494019816,0.474535563,0.142697275
EIF3K,0.555506016,0.771079264,0.762466384,0.686601203,0.704768224,0.713504069,0.712216914,0.417834395
EIF3L,0.851454352,0.84982661,0.885343241,0.564854919,0.8995046,0.874907113,0.939432944,0.743121904
EIF3M,0.917006369,0.834593064,0.852998938,0.808023708,0.981095188,0.955113234,0.967108988,0.955069002
EIF4A2,0.941450814,0.990679406,0.986717976,0.97905874,0.933987969,0.987915782,0.989857573,0.974920382
EIF4A3,0.638531493,0.512813163,0.425461783,0.425900566,0.597266454,0.458280255,0.395298125,0.253596072
EIF4B,0.644515216,0.742558386,0.621240269,0.675240623,0.872947629,0.96543259,0.811588818,0.808262562
EIF4E,0.670835103,0.748220099,0.918673036,0.598922505,0.805927105,0.989384289,0.997708776,0.829874381
EIF4E1B,0.753977353,0.708512031,0.535796178,0.64962845,0.707510616,0.79386058,0.45013712,0.892060333
EIF4E2,0.87861288,0.771986907,0.778110403,0.850162774,0.900681175,0.73111288,0.748566879,0.875048655
EIF4E3,0.984922151,0.986440198,0.992579618,0.959524062,0.997629158,0.993878273,0.990428167,0.999239207
EIF4EBP1,0.839115357,0.899585987,0.714930998,0.689301132,0.880343241,0.879984961,0.794148089,0.756201345
EIF4EBP2,0.984978769,0.996811748,0.987781316,0.94935598,0.975725407,0.993533263,0.976848903,0.897222222
EIF4EBP3,0.554861996,0.560932413,0.598807502,0.486072187,0.727415074,0.859629335,0.818108634,0.562022293
EIF4ENIF1,0.483064402,0.63131281,0.579665605,0.607199222,0.574610757,0.639654105,0.360920913,0.632285032
EIF4G1,0.694122435,0.695171621,0.687634466,0.757776008,0.699460368,0.687132873,0.677538924,0.682784855
EIF4G2,0.917367304,0.979916844,0.969332979,0.961496815,0.95623673,0.994333864,0.977273531,0.951893135
EIF4G3,0.991284501,0.998163482,0.999398443,0.890907643,0.998947275,0.999522293,0.999619604,0.767241684
EIF4H,0.895530786,0.992098372,0.989327672,0.92866419,0.967577849,0.99606334,0.988756192,0.978282024
EIF5,0.796029724,0.923358103,0.928154636,0.930585633,0.786544586,0.936354388,0.966613588,0.897708776
EIF5A,0.714210899,0.786026185,0.706059802,0.806429582,0.837694621,0.901450814,0.697399151,0.87253627
EIF5A2,0.824274593,0.88118896,0.894049894,0.751357042,0.820541401,0.808757962,0.9009908,0.828989738
EIF5B,0.582714084,0.735429936,0.803931352,0.596965676,0.617825548,0.646762208,0.565742215,0.387429229
EIF6,0.435194621,0.345352088,0.286643666,0.282057679,0.484076433,0.394139243,0.241078379,0.328308563
ELAC1,0.50982661,0.642646851,0.432142604,0.476788747,0.668214791,0.836252654,0.570068117,0.422558386
ELAC2,0.800753715,0.872857396,0.850905874,0.760458245,0.913101557,0.992569002,0.995315817,0.941334926
ELAVL2,1,0.999550602,0.999164897,1,1,0.999982307,0.999946921,1
ELAVL3,0.936079264,0.963336872,0.986544586,0.919394904,0.976937367,0.996036801,0.997894551,0.990047771
ELAVL4,0.999996461,0.999879689,1,1,1,0.999964614,1,1
ELF1,0.996960368,0.960697098,0.930141543,0.834286978,0.999478061,0.944068471,0.983050248,0.85513535
ELF2,0.997876858,0.997703468,0.998053786,0.851199575,0.99816879,0.999920382,0.999265747,0.996408351
ELF3,0.714104742,0.416532201,0.645679406,0.6237615,0.829361288,0.455781139,0.798252831,0.829843418
ELF4,0.984667374,0.807655697,0.706403043,0.577508846,0.98613765,0.621439314,0.524907113,0.449933652
ELF5,0.407618542,0.277280609,0.452788393,0.597337226,0.516153574,0.319431175,0.454423213,0.501941791
ELFN1,1,0.999115357,0.999685067,0.999833687,1,0.999026893,0.999867304,0.99987615
ELFN2,0.989865534,0.996275655,0.986068648,0.991367657,0.998938429,0.999469214,0.994223284,0.990578556
ELK1,0.976355272,0.839987615,0.869509908,0.74306971,0.980511323,0.961345541,0.976464084,0.705374204
ELK3,0.991698514,0.954568294,0.788057325,0.820897028,0.995567941,0.996116419,0.996457006,0.963924275
ELK4,0.958517339,0.944884996,0.854663836,0.801702052,0.971408351,0.994223284,0.942529193,0.844913305
ELL,0.82564402,0.792236377,0.767452229,0.932491154,0.93247523,0.95329087,0.91665782,0.994674452
ELL2,0.99967799,0.999996461,0.99965322,0.975369781,0.999920382,0.999991154,0.999787686,0.956046532
ELMO1,0.999911536,0.999996461,1,0.999911536,0.999929229,0.999991154,1,0.999920382
ELMO2,0.970375088,0.990937721,0.991341118,0.993211253,0.985093772,0.993011323,0.991374735,0.995859873
ELMOD1,0.986811748,0.992770701,0.949274593,0.990136235,0.996939137,0.999708068,0.979202052,0.999920382
ELMOD2,0.947770701,0.952889243,0.933950814,0.983149328,0.963499646,0.969665605,0.970187544,0.997832626
ELMOD3,0.812997169,0.915511323,0.952666313,0.817569002,0.962632696,0.997523001,0.998496108,0.914048125
ELMSAN1,0.961464968,0.975900566,0.828818117,0.815343241,0.983280255,0.996204883,0.951017339,0.845621019
ELN,0.938938429,0.904909766,0.880645789,0.559860226,0.920178698,0.876924098,0.937955591,0.72131104
ELOF1,0.790230007,0.500065464,0.69433121,0.608517339,0.874796532,0.63711518,0.835337049,0.727043524
ELOVL1,0.996047417,0.936970984,0.928770347,0.801875442,0.998000708,0.974433829,0.985080502,0.826291578
ELOVL2,0.9937615,0.991579972,0.951836518,0.680904105,0.997089526,0.990826256,0.985748408,0.806572895
ELOVL3,0.714486907,0.659856688,0.52116419,0.645682944,0.79386058,0.839932767,0.72513712,0.918312102
ELOVL4,0.99930644,0.977354919,0.997264685,0.990276008,0.998673036,0.95035828,0.993922505,0.991250885
ELOVL5,0.986627742,0.996082803,0.997246992,0.995286624,0.980944798,0.99240092,0.999734607,0.999823071
ELOVL6,0.963269639,0.993556263,0.989685067,0.982310686,0.947381458,0.99767339,0.994444444,0.976282732
ELOVL7,0.993312102,0.999734607,0.98584041,0.944423213,0.994294055,0.999389597,0.967617657,0.900884643
ELP2,0.778832272,0.747609696,0.816199575,0.770304317,0.927096603,0.867117834,0.938782732,0.842241684
ELP3,0.654589526,0.708973815,0.665355626,0.913520878,0.837597311,0.832386766,0.887323071,0.98297063
ELP4,0.994228592,0.978062633,0.97972753,0.996054494,0.997071833,0.99913305,0.999796532,0.999858457
ELP5,0.912784855,0.732593772,0.654502831,0.738987969,0.949469214,0.828423567,0.780573248,0.696740092
ELP6,0.849324133,0.735295471,0.691194268,0.668658882,0.914145435,0.861429582,0.852468153,0.805555556
ELSPBP1,0.554391366,0.490171621,0.580736023,0.525012385,0.491985138,0.295262739,0.463826964,0.555851911
EMB,0.960633404,0.927016985,0.843773885,0.895498938,0.986500354,0.998186483,0.987986553,0.958386412
EMC1,0.784225053,0.469449752,0.462676929,0.525138004,0.882855626,0.717613234,0.72746373,0.723089172
EMC10,0.582278839,0.720352088,0.691468507,0.570748408,0.738393489,0.842586695,0.764163128,0.669771762
EMC2,0.943878273,0.960760793,0.955405166,0.893853503,0.974955768,0.99131281,0.995824487,0.973717268
EMC3,0.888556263,0.765120311,0.790410474,0.742393843,0.778060863,0.572664544,0.708191791,0.752255839
EMC4,0.878623496,0.667593772,0.612061217,0.536050955,0.86212845,0.708634112,0.670833333,0.440255662
EMC7,0.720339703,0.609186129,0.686176575,0.556298655,0.794692144,0.712937898,0.78295736,0.523407643
EMC9,0.864656759,0.800934183,0.814237438,0.703138712,0.834244515,0.683280255,0.647239915,0.674774416
EMCN,0.998874735,0.991496815,0.908278485,0.756730361,0.999389597,0.997213376,0.959669144,0.710107042
EMD,0.806790517,0.728358103,0.733522647,0.708101557,0.729025124,0.556325195,0.607032909,0.625017693
EME1,0.697013447,0.573757962,0.738766808,0.565014154,0.729732838,0.533266985,0.689512562,0.576119073
EMG1,0.49962845,0.482613234,0.474375442,0.505348549,0.681289809,0.691056263,0.677273531,0.852937013
EMID1,0.97440552,0.998895966,0.995314933,0.985820948,0.98185598,0.999699222,0.997160297,0.973920736
EMILIN1,0.906525124,0.905235315,0.864700991,0.723122788,0.948938429,0.991330502,0.936181883,0.82170913
EMILIN2,0.630580326,0.630217622,0.577292994,0.592703468,0.662022293,0.636575548,0.629104742,0.727937013
EMILIN3,0.717013447,0.814334749,0.811004954,0.821058033,0.856033263,0.940361819,0.96715322,0.785624558
EML1,0.984893843,0.999734607,0.997055909,0.994685067,0.993497877,1,0.999991154,0.998920736
EML2,0.996886058,0.999631989,0.993230715,0.855102619,0.998628804,0.999743454,0.996912597,0.984832803
EML3,0.980463553,0.954640835,0.822979476,0.68943029,0.983678344,0.940782024,0.809178167,0.655400743
EML4,0.995813871,0.989814225,0.987749469,0.966843595,0.997027601,0.99213995,0.995178698,0.999787686
EML5,0.982841472,0.998474876,0.999154282,0.992563694,0.982307148,0.999946921,0.999884996,0.993320948
EML6,0.995116773,0.989087049,0.999812456,0.999985846,0.989118896,0.991374735,0.999938075,1
EMP1,0.819794763,0.87378804,0.785705945,0.675061925,0.879706299,0.962880396,0.967294763,0.829940729
EMP3,0.932070064,0.760348549,0.728496108,0.475483015,0.947956476,0.707745046,0.697828202,0.366604742
EMX1,1,0.691901982,0.818400566,0.941247346,1,0.680984607,0.753618188,0.972399151
EMX2,0.999087049,0.73393489,0.690705945,0.439906228,0.999301132,0.793719038,0.760076079,0.407917551
ENAH,1,0.999964614,0.99987615,0.998775655,1,1,0.999929229,0.999893843
ENAM,0.613428875,0.571150035,0.805458245,0.689148974,0.561279193,0.531917905,0.777490269,0.535491861
ENC1,0.982869781,0.998871196,0.995523708,0.992367304,0.997770701,0.999416136,0.998381104,0.999911536
ENDOD1,0.918726115,0.98643666,0.984854919,0.902310686,0.969913305,0.988154636,0.979140127,0.791480892
ENDOG,0.927094834,0.957721161,0.897163836,0.659847841,0.952901628,0.989946037,0.912707891,0.751565817
ENG,0.998177636,0.985111465,0.923135173,0.831079264,0.998805732,0.986929406,0.83368719,0.71532201
ENGASE,0.907055909,0.974916844,0.989688606,0.951344657,0.949672682,0.998973815,0.995833333,0.996532201
ENHO,0.989193206,0.997353149,0.960483015,0.925337933,0.991719745,0.999884996,0.998443029,0.934147205
ENKUR,0.916061571,0.991181883,0.964168436,0.893007785,0.975858103,0.998903043,0.999575372,0.9317454
ENO1,0.985583864,0.967381458,0.970431706,0.803678344,0.986677282,0.991940906,0.956130573,0.80772293
ENO2,0.964125973,0.992625619,0.978927813,0.937721161,0.955847488,0.991480892,0.992011677,0.890591826
ENO4,0.974359519,0.997940552,0.993113942,0.987646851,0.953742038,0.999929229,0.999884996,0.998920736
ENOPH1,0.846079264,0.610021231,0.657241684,0.65418436,0.899106511,0.760823602,0.785191083,0.802499115
ENOSF1,0.963492569,0.914952229,0.822358457,0.77143666,0.981307502,0.988579264,0.966613588,0.957705237
ENOX1,0.999026893,1,0.99943029,0.99980184,0.99767339,1,0.9995046,0.999769993
ENOX2,0.931415428,0.94363942,0.897323071,0.920449398,0.968444798,0.942560156,0.914017162,0.972983015
ENPEP,0.708552725,0.658853503,0.827906936,0.959490446,0.769462137,0.758408528,0.961650743,0.974646143
ENPP1,0.78353857,0.770399858,0.720642251,0.77878804,0.809739915,0.804317056,0.778600495,0.809549717
ENPP2,0.997767162,0.961804671,0.939658528,0.831677282,0.998363411,0.994780609,0.978458953,0.852397381
ENPP3,0.631489738,0.666578202,0.741109342,0.741250885,0.784518754,0.809394904,0.889410828,0.871377389
ENPP4,0.98138712,0.969718684,0.997809625,0.895136235,0.991480892,0.999699222,0.999920382,0.856382696
ENPP5,0.961726822,0.981594126,0.93465322,0.905311394,0.942471691,0.972509731,0.938782732,0.875530786
ENPP6,0.962349611,0.967749469,0.947130219,0.824835456,0.98334218,0.996342003,0.977919321,0.975521939
ENPP7,0.643167021,0.594428521,0.490967799,0.510677636,0.675230007,0.748363411,0.673903043,0.609120665
ENSA,0.594869073,0.910856334,0.863816348,0.639720453,0.624663836,0.971669321,0.960973992,0.688167905
ENTHD1,0.659639066,0.654711607,0.603152866,0.675974876,0.763623496,0.877140835,0.80096426,0.809996461
ENTPD2,0.892147912,0.924814225,0.907768931,0.633062633,0.968471338,0.982576964,0.894833687,0.715065464
ENTPD3,0.806128804,0.700534324,0.809439137,0.741569356,0.870762562,0.897974168,0.915388358,0.849570948
ENTPD4,0.986206653,0.990874027,0.987257608,0.884366596,0.996355272,0.999663836,0.976822364,0.956984253
ENTPD5,0.947593772,0.932271762,0.896104034,0.891886058,0.975911182,0.986394197,0.989238323,0.952016985
ENTPD6,0.982073602,0.850263623,0.92415782,0.805751946,0.988287332,0.830820948,0.838216561,0.696563163
ENTPD7,0.984575372,0.915318471,0.963545648,0.875060156,0.985509554,0.822717622,0.974902689,0.858890658
ENY2,0.732774239,0.62381281,0.552507077,0.609884996,0.871753362,0.73038305,0.705750177,0.767095718
EOGT,0.994539986,0.999667374,0.999476292,0.99621373,0.998947275,0.999955768,0.999929229,0.99655874
EP300,0.971999292,0.918772116,0.886415428,0.964674452,0.981422505,0.864494869,0.856391543,0.962539809
EP400,0.73952937,0.795820948,0.887303609,0.772781316,0.857174452,0.909421444,0.917285916,0.768940198
EPAS1,0.998570418,0.846997523,0.829920382,0.578759731,0.998053786,0.93371373,0.871802017,0.658682767
EPB41,0.988719038,0.999978769,0.99881104,0.998616419,0.995116773,1,0.997885704,0.996717976
EPB41L1,0.967342534,0.999946921,0.999794763,1,0.967860934,1,0.999982307,1
EPB41L2,0.984784147,0.999299363,0.999812456,0.998205945,0.996956829,0.999955768,0.999929229,0.999840764
EPB41L3,0.999805379,1,1,0.999992923,1,1,1,1
EPB41L4A,0.891758669,0.878867657,0.761420736,0.785592711,0.934244515,0.876534855,0.822394728,0.850672328
EPB41L4B,0.999575372,0.994299363,0.991334041,0.979363057,0.999610757,0.997814933,0.999796532,0.999318825
EPB41L5,0.979079972,0.997137297,0.993471338,0.961611819,0.994426752,0.999787686,0.999805379,0.998792463
EPB42,0.704738146,0.601222576,0.704573602,0.577223992,0.747036447,0.749805379,0.874155166,0.626313694
EPC1,0.998658882,0.999897381,0.996848903,0.998621727,0.999672682,0.999991154,0.995868719,0.997208953
EPC2,0.967965322,0.990578556,0.986151805,0.975364473,0.979458599,0.995444091,0.9797638,0.97918436
EPCAM,0.743358103,0.700688252,0.704685067,0.512715853,0.904263977,0.839547948,0.796098726,0.47891012
EPDR1,0.978457183,0.996397735,0.997517693,0.98908351,0.994798301,0.999460368,0.999982307,0.999858457
EPG5,0.772094834,0.935375088,0.787931706,0.730829795,0.835651097,0.974734607,0.864786801,0.797620311
EPGN,0.70935598,0.832613234,0.768382873,0.824378981,0.686155343,0.864928344,0.889242746,0.976663128
EPHA1,0.872346072,0.734502831,0.700486553,0.592319533,0.934775301,0.939171975,0.897089526,0.754723992
EPHA10,0.993913659,0.964357749,0.988450106,0.999044586,0.996815287,0.937946745,0.982899858,0.999858457
EPHA2,0.941012031,0.705150389,0.616408351,0.496868365,0.971107573,0.786252654,0.762230184,0.523929582
EPHA3,0.891836518,0.983271408,0.979097665,0.990859873,0.979945152,0.992409766,0.990516631,0.998204176
EPHA4,0.999971691,1,0.999992923,0.997310686,0.999964614,1,1,0.999840764
EPHA5,0.999062279,0.999649682,1,0.999992923,0.999274593,0.999221515,1,0.999991154
EPHA6,0.999964614,0.984570064,0.998082095,0.998846426,0.999911536,0.994771762,0.998814579,0.997239915
EPHA7,0.996532201,0.999663836,0.99960368,0.998007785,0.999451522,0.999964614,0.999955768,1
EPHA8,0.933535032,0.864474522,0.91819356,0.835221161,0.941843595,0.89621373,0.925597134,0.892860934
EPHB1,0.956974522,0.983630573,0.985987261,0.981714437,0.959828379,0.989724876,0.98443029,0.998071479
EPHB2,0.981645435,0.987434536,0.988768577,0.999508139,0.989065817,0.988181175,0.987827318,0.998920736
EPHB3,0.977505308,0.971841826,0.984118896,0.902581387,0.98911005,0.999164013,0.999787686,0.972160297
EPHB4,0.991528662,0.663142251,0.764501062,0.465405166,0.993621727,0.742670736,0.88258581,0.72462845
EPHB6,0.99997523,0.996245577,0.997696391,0.999992923,0.999964614,0.99888535,0.999416136,1
EPHX1,0.967922859,0.987261146,0.980449398,0.86331564,0.985023001,0.994731953,0.989552371,0.850066348
EPHX2,0.975244161,0.976056263,0.970207006,0.64690552,0.984191437,0.96837845,0.964831033,0.835982838
EPHX3,0.447498231,0.458987969,0.575937721,0.697098372,0.359837226,0.257877742,0.393214791,0.70514862
EPHX4,0.999911536,0.995184006,0.994674452,0.999709837,1,0.998274947,0.999734607,0.999982307
EPM2A,0.927611465,0.980553786,0.955716561,0.92019816,0.891958599,0.985863411,0.989012739,0.929493984
EPM2AIP1,0.885598018,0.826571125,0.937979476,0.808188252,0.871098726,0.819550602,0.946625088,0.935704176
EPN1,0.65373673,0.521229653,0.388607573,0.410113234,0.813101557,0.784386058,0.573323602,0.671023531
EPN2,0.999217976,1,0.998673036,0.954886766,0.999239207,1,0.999486907,0.985244161
EPN3,0.988198868,0.97537155,0.974844303,0.984444444,0.995276008,0.9884908,0.997089526,0.984881458
EPOR,0.514285209,0.43792109,0.646104034,0.695596249,0.722399151,0.610934183,0.730935952,0.703450106
EPRS,0.985021231,0.982344303,0.988527955,0.985146851,0.99153397,0.985943029,0.978927813,0.986708245
EPS15,0.996334041,0.986871904,0.991464968,0.978225407,0.995541401,0.996956829,0.999778839,0.988804848
EPS15L1,0.926921444,0.996472045,0.966887827,0.905440552,0.884439137,0.995514862,0.979458599,0.857395612
EPS8,0.969883227,0.843412951,0.86131281,0.80517339,0.992082449,0.939494869,0.986066879,0.779082626
EPS8L1,0.493021939,0.450235315,0.714173744,0.610081387,0.470567941,0.314654105,0.52194356,0.559133935
EPS8L2,0.918828733,0.860511323,0.649738146,0.700748408,0.950044232,0.868471338,0.675490977,0.844267516
EPS8L3,0.40381104,0.5972523,0.580483015,0.434377212,0.586871904,0.749296709,0.683788924,0.450884643
EPSTI1,0.97121373,0.900456476,0.928328025,0.916413659,0.984863765,0.865136235,0.974584218,0.915861642
EPX,0.466677282,0.519952229,0.390737792,0.555058386,0.60341472,0.518077672,0.365883758,0.412641543
EPYC,0.557254069,0.695219391,0.73752477,0.706725053,0.568621727,0.75784678,0.815587403,0.867701699
EQTN,0.801553432,0.881463199,0.97056971,0.929154282,0.892551309,0.944661182,0.99668259,0.930812102
ERAL1,0.753651805,0.875571479,0.734639066,0.823121019,0.82121373,0.873336872,0.696439314,0.785376858
ERAP1,0.723998585,0.69195506,0.708791578,0.548765039,0.78858811,0.737831741,0.701419851,0.450367127
ERAP2,0.84918259,0.813388181,0.773752654,0.703149328,0.937579618,0.923106865,0.901296001,0.616127035
ERAS,0.871224345,0.831900212,0.652055909,0.570951875,0.955192852,0.951096957,0.911066879,0.751919674
