gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
SMARCA2,1,FALSE,0,0,0,0,1,1,0,NA
SMARCA4,1,FALSE,0,0,0,0,0.564460975,1,0,NA
SMARCA5,1,FALSE,0,0,0,0,0.48365029,1,0,NA
SMARCAD1,1,FALSE,0,0,0,0,0.170243893,1,0,NA
SMARCAL1,1,FALSE,0,0,0,0,1,1,0,NA
SMARCB1,1,FALSE,1,0,0,1,0.025415405,1,0,Diverged_in_single-cell
SMARCC1,1,FALSE,0,0,0,0,1,1,0,NA
SMARCC2,1,FALSE,0,0,0,0,0.656737713,1,0,NA
SMARCD1,1,FALSE,0,0,0,0,1,1,0,NA
SMARCD2,1,FALSE,0,0,0,0,1,1,0,NA
SMARCD3,1,FALSE,0,0,0,0,0.055967878,1,0,NA
SMARCE1,1,FALSE,0,0,1,1,5.44E-06,2.49E-06,1,Diverged_in_both
SMC1A,1,FALSE,0,0,0,0,1,1,0,NA
SMC1B,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SMC2,1,FALSE,1,0,0,1,0.234803718,1,0,Diverged_in_single-cell
SMC3,1,FALSE,0,0,0,0,1,1,0,NA
SMC4,1,FALSE,0,0,0,0,1,1,0,NA
SMC5,1,FALSE,0,0,0,0,0.008372132,1,0,NA
SMC6,1,FALSE,0,0,0,0,0.916805233,1,0,NA
SMCHD1,1,FALSE,0,0,0,0,1,1,0,NA
SMCO1,0,FALSE,0,1,0,1,NA,NA,0,NA
SMCO3,1,FALSE,1,0,0,1,0.978127611,1,0,Diverged_in_single-cell
SMCO4,1,FALSE,0,0,0,0,0.592528067,1,0,NA
SMDT1,1,FALSE,0,0,1,1,0.147746791,0.164980793,0,Diverged_in_single-cell
SMG5,1,FALSE,0,0,0,0,0.725685757,1,0,NA
SMG6,1,FALSE,0,0,0,0,1,1,0,NA
SMG7,1,FALSE,0,0,0,0,1,1,0,NA
SMG8,1,FALSE,1,1,1,1,0.784609555,1,0,Diverged_in_single-cell
SMG9,1,FALSE,0,0,0,0,0.092933148,1,0,NA
SMIM1,0,FALSE,0,0,1,1,1,1,0,NA
SMIM10,1,FALSE,0,0,0,0,0.973429754,1,0,NA
SMIM13,1,FALSE,0,0,0,0,1,1,0,NA
SMIM14,1,FALSE,0,0,0,0,0.6891914,1,0,NA
SMIM15,1,FALSE,1,1,0,1,1,1,0,Diverged_in_single-cell
SMIM17,1,FALSE,0,0,0,0,NA,NA,0,NA
SMIM18,1,FALSE,0,0,0,0,1,1,0,NA
SMIM19,1,FALSE,0,0,0,0,1,1,0,NA
SMIM2,1,FALSE,0,0,1,1,NA,NA,0,Diverged_in_single-cell
SMIM20,1,FALSE,0,0,0,0,1,1,0,NA
SMIM21,0,FALSE,0,0,0,0,NA,NA,0,NA
SMIM23,0,TRUE,0,1,0,1,NA,NA,0,NA
SMIM24,0,FALSE,0,0,1,1,1,1,0,NA
SMIM3,1,FALSE,0,0,0,0,1,1,0,NA
SMIM4,1,FALSE,0,0,0,0,1,1,0,NA
SMIM5,0,FALSE,1,0,0,1,1,1,0,NA
SMIM6,0,FALSE,1,0,0,1,NA,NA,0,NA
SMIM7,1,FALSE,0,0,1,1,0.771925654,1,0,Diverged_in_single-cell
SMKR1,1,FALSE,0,0,0,0,1,1,0,NA
SMLR1,1,FALSE,0,0,1,1,NA,NA,0,Diverged_in_single-cell
SMNDC1,1,FALSE,1,0,0,1,0.234070378,1,0,Diverged_in_single-cell
SMO,1,FALSE,0,0,0,0,1,1,0,NA
SMOC1,1,FALSE,0,0,0,0,0.66786067,1,0,NA
SMOC2,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
SMOX,1,FALSE,0,0,0,0,1,1,0,NA
